"county","ward","onset"
"Kakamega","Sinoko",2020-02-26
"Trans Nzoia","Saboti",2020-02-26
"Nakuru","Visoi",2020-03-01
"Kericho","Kapsuser",2020-02-23
"Kiambu","Ngenda",2020-02-27
"Kiambu","Karuri",2020-02-27
"Kiambu","Kamenu",2020-02-27
"Kericho","Soliat",2020-02-23
"Kiambu","Kahawa Wendani",2020-02-24
"Kericho","Kipkelion",2020-02-29
"Trans Nzoia","Kaplamai",2020-03-02
"Machakos","Matuu",2020-02-27
"Machakos","Muthesya",2020-02-27
"Kiambu","Gatuanyaga",2020-02-26
"Kakamega","Marama Central",2020-02-24
"Uasin Gishu","Cheptiret/Kipchamo",2020-03-15
"Kiambu","Kabete",2020-02-27
"Machakos","Tala",2020-02-27
"Trans Nzoia","Makutano",2020-03-06
"Uasin Gishu","Kapkures",2020-02-27
"Kakamega","Mayoni",2020-02-24
"Elgeyo Marakwet","Emsoo",2020-03-25
"Kakamega","Mumias Central",2020-02-24
"Uasin Gishu","Kamagut",2020-02-26
"Uasin Gishu","Kipkenyo",2020-02-26
"Kakamega","Kisa East",2020-02-23
"Kakamega","Manda-Shivanga",2020-02-26
"Uasin Gishu","Kuinet/Kapsuswa",2020-02-27
"Kiambu","Kinoo",2020-02-27
"Trans Nzoia","Bidii",2020-03-05
"Trans Nzoia","Tuwani",2020-02-29
"Nakuru","Lakeview",2020-02-23
"Meru","Kianjai",2020-03-05
"Trans Nzoia","Sirende",2020-02-28
"Kakamega","Khalaba",2020-02-26
"Uasin Gishu","Kapsoya",2020-03-01
"Nyeri","Karatina Town",2020-02-20
"Kakamega","Chekalini",2020-02-25
"Meru","Ruiri/Rwarera",2020-02-26
"Kiambu","Kiganjo",2020-02-27
"Machakos","Mbiuni",2020-02-27
"Kericho","Litein",2020-02-17
"Kakamega","Butali/Chegulo",2020-02-26
"Machakos","Kivaa",2020-02-26
"Uasin Gishu","Moiben",2020-03-25
"Kakamega","Lwandeti",2020-02-25
"Kakamega","Bunyala Central",2020-02-25
"Trans Nzoia","Chepsiro/Kiptoror",2020-03-18
"Uasin Gishu","Tulwet/Chuiyat",2020-02-28
"Kiambu","Gitaru",2020-02-27
"Kericho","Kapkugerwet",2020-02-23
"Meru","Amwathi",2020-03-26
"Nakuru","Maiella",2020-02-26
"Machakos","Athi River",2020-02-27
"Machakos","Matungulu North",2020-02-27
"Nyeri","Mwiyogo/Endarasha",2020-02-25
"Kakamega","Kisa North",2020-02-23
"Kakamega","Likuyani",2020-02-27
"Kiambu","Ndenderu",2020-02-27
"Machakos","Kangundo North",2020-02-27
"Meru","Antuambui",2020-03-24
"Kiambu","Limuru East",2020-02-27
"Nyeri","Gikondi",2020-02-27
"Uasin Gishu","Simat/Kapseret",2020-02-26
"Machakos","Matungulu West",2020-02-27
"Kakamega","Shirere",2020-02-24
"Nakuru","Mauche",2020-02-25
"Kakamega","Isongo/Makunga/Malaha",2020-02-24
"Kakamega","Marama North",2020-02-24
"Kiambu","Ndumberi",2020-02-27
"Kakamega","Marenyo-Shianda",2020-02-24
"Nyeri","Gatitu/Muruguru",2020-02-26
"Meru","Ntunene",2020-03-21
"Kakamega","Shinoyi-Shikomari-Esumeiya",2020-02-24
"Kericho","Cheplanget",2020-02-16
"Kiambu","Kihara",2020-02-27
"Nyeri","Kamakwa/Mukaro",2020-02-26
"Kakamega","Mautuma",2020-02-26
"Meru","Antubetwe Kiongo",2020-03-19
"Nyeri","Mukurwe-Ini West",2020-02-26
"Meru","Naathu",2020-03-25
"Kiambu","Ngoliba",2020-02-27
"Kericho","Waldai",2020-02-23
"Meru","Nkomo",2020-02-26
"Kiambu","Muchatha",2020-02-27
"Kiambu","Ndeiya",2020-02-27
"Nakuru","Menengai West",2020-02-28
"Machakos","Syokimau/Mulolongo",2020-02-24
"Kakamega","Kisa Central",2020-02-23
"Nyeri","Karima",2020-02-26
"Trans Nzoia","Matisi",2020-02-27
"Kiambu","Uthiru",2020-02-27
"Kiambu","Juja",2020-02-27
"Kiambu","Chania",2020-02-27
"Trans Nzoia","Sikhendu",2020-02-25
"Machakos","Ikombe",2020-02-27
"Kiambu","Gatongora",2020-02-26
"Kakamega","East Wanga",2020-02-25
"Machakos","Muthwani",2020-02-26
"Machakos","Ndithini",2020-02-26
"Meru","Mwanganthia",2020-02-27
"Machakos","Muthetheni",2020-02-27
"Trans Nzoia","Endebess",2020-02-28
"Meru","Kisima",2020-02-27
"Nakuru","Kabazi",2020-02-27
"Kakamega","Marama West",2020-02-24
"Machakos","Ekalakala",2020-02-27
"Uasin Gishu","Segero/Barsombe",2020-03-05
"Nyeri","Ruring'U",2020-02-26
"Nyeri","Mugunda",2020-02-26
"Uasin Gishu","Moi'S Bridge",2020-02-27
"Kakamega","Chemuche",2020-02-27
"Kiambu","Mang'U",2020-02-27
"Meru","Nkuene",2020-02-27
"Kakamega","South Kabras",2020-02-24
"Trans Nzoia","Machewa",2020-02-25
"Kakamega","Bunyala East",2020-02-26
"Trans Nzoia","Kinyoro",2020-02-27
"Machakos","Kangundo East",2020-02-27
"Trans Nzoia","Sinyerere",2020-03-09
"Kakamega","Marama South",2020-02-24
"Kericho","Kamasian",2020-02-29
"Uasin Gishu","Kipsomba",2020-03-18
"Kiambu","Githiga",2020-02-27
"Nakuru","Molo",2020-02-28
"Nyeri","Konyu",2020-02-26
"Kiambu","Kamburu",2020-02-27
"Kericho","Tendeno/Sorget",2020-02-29
"Meru","Abothuguchi Central",2020-02-27
"Nyeri","Wamagana",2020-02-26
"Uasin Gishu","Huruma",2020-02-26
"Nyeri","Ruguru",2020-02-20
"Nakuru","Gilgil",2020-02-26
"Kakamega","West Kabras",2020-02-25
"Kericho","Chaik",2020-02-24
"Uasin Gishu","Ngeria",2020-02-29
"Nyeri","Gakawa",2020-02-28
"Nakuru","Murindati",2020-02-25
"Nyeri","Kiganjo/Mathari",2020-02-26
"Trans Nzoia","Sitatunga",2020-03-06
"Kericho","Londiani",2020-03-01
"Nyeri","Gatarakwa",2020-02-24
"Nyeri","Naromoru Kiamathaga",2020-02-27
"Kiambu","Nyanduma",2020-02-27
"Machakos","Kithimani",2020-02-27
"Kakamega","Isukha Central",2020-02-24
"Kakamega","Sango",2020-02-26
"Machakos","Matungulu East",2020-02-27
"Kiambu","Lari/Kirenga",2020-02-27
"Kiambu","Riabai",2020-02-27
"Machakos","Ndalani",2020-02-27
"Nakuru","Malewa West",2020-02-26
"Kericho","Soin",2020-02-23
"Nakuru","Kamara",2020-03-01
"Nakuru","Kiptagich",2020-02-20
"Nyeri","Rware",2020-02-26
"Meru","Igoji East",2020-02-27
"Nyeri","Mukurwe-Ini Central",2020-02-27
"Kiambu","Hospital",2020-02-27
"Machakos","Masinga Central",2020-02-27
"Kakamega","Butsotso Central",2020-02-24
"Kakamega","Shirugu-Mugai",2020-02-26
"Kiambu","Mwihoko",2020-02-25
"Kiambu","Githunguri",2020-02-27
"Kiambu","Kiamwangi",2020-02-27
"Kiambu","Kikuyu",2020-02-27
"Kakamega","Etenje",2020-02-24
"Kakamega","Kongoni",2020-02-27
"Kericho","Cheboin",2020-02-21
"Kakamega","Idakho Central",2020-02-24
"Kakamega","Chevaywa",2020-02-25
"Nakuru","Dundori",2020-02-25
"Uasin Gishu","Ziwa",2020-03-11
"Kiambu","Bibirioni",2020-02-27
"Kiambu","Township (Thika)",2020-02-27
"Kakamega","Isukha East",2020-02-24
"Kericho","Kapsaos",2020-02-25
"Kericho","Chemosot",2020-02-20
